"shipment_id","supply_date","supply_month","mountain_region","company_name","goods_category","quantity_shipped","demand_level","route_difficulty","distance_km","altitude_meters","vehicle_type","weather_condition","landslide_risk","logistics_upgrade","delivery_time_hours","delay_hours","fuel_cost","driver_cost","maintenance_cost","revenue","total_cost","profit","profit_margin","customer_satisfaction","delivery_status","cost_per_km","revenue_per_unit","profit_per_unit","route_efficiency_score","risk_score","profit_category","operational_performance_rating","delay_category","revenue_category","efficiency_category"
"SH0001","2025-11-06","November","Pithoragarh","MountainLink Transport","Trekking Equipment",180,"High","Medium",71,2820,"Off-road Vehicle","Clear","Medium","No",4,1,8608.0,4975.0,1852.0,56825.0,15435.0,41390.0,0.7284,4.6,"On Time",217.39,315.69,180.0,58295.77,4,"Medium Profit","Excellent","Minor Delay","Standard","High"
"SH0002","2025-11-24","November","Auli","MountainLink Transport","Construction Material",560,"Low","Medium",57,4678,"Mini Truck","Snow","Medium","No",9,7,8699.0,5770.0,4148.0,23267.0,18617.0,4650.0,0.1999,3.8,"Delayed",326.61,41.55,560.0,8157.89,4,"Low Profit","Poor","Severe Delay","Basic","Low"
"SH0003","2025-01-24","January","Chamoli","PeakRoute Supply","Food Supplies",57,"High","Medium",142,3709,"Truck","Snow","Low","Yes",9,2,6959.0,1784.0,2398.0,76134.0,11141.0,64993.0,0.8537,4.7,"On Time",78.46,1335.68,57.0,45769.72,3,"High Profit","Excellent","Minor Delay","Premium","Medium"
"SH0004","2025-07-01","July","Yamunotri","SnowPeak Logistics","Retail Goods",163,"Low","Easy",372,4999,"Pickup Van","Clear","Medium","No",19,1,7070.0,2820.0,2627.0,38542.0,12517.0,26025.0,0.6752,4.6,"On Time",33.65,236.45,163.0,6995.97,3,"Medium Profit","Excellent","Minor Delay","Basic","Low"
"SH0005","2025-08-19","August","Valley of Flowers","MountainLink Transport","Retail Goods",412,"Medium","Hard",382,4552,"Pickup Van","Rain","Medium","No",22,3,9573.0,1454.0,3059.0,45377.0,14086.0,31291.0,0.6896,4.3,"On Time",36.87,110.14,412.0,8191.36,5,"Medium Profit","Good","Moderate Delay","Standard","Low"
"SH0006","2025-04-08","April","Pithoragarh","Himalayan Freight","Food Supplies",911,"Low","Medium",147,3493,"Off-road Vehicle","Rain","High","Yes",9,2,7159.0,5260.0,1124.0,50006.0,13543.0,36463.0,0.7292,4.7,"On Time",92.13,54.89,911.0,24804.76,5,"Medium Profit","Excellent","Minor Delay","Standard","Low"
"SH0007","2025-12-16","December","Pithoragarh","Himalayan Freight","Fuel & Energy",177,"Medium","Medium",242,3429,"Pickup Van","Clear","Low","No",12,0,6879.0,4029.0,2148.0,26590.0,13056.0,13534.0,0.509,4.8,"On Time",53.95,150.23,177.0,5592.56,3,"Low Profit","Excellent","No Delay","Basic","Low"
"SH0008","2025-10-23","October","Kedarnath","SnowPeak Logistics","Retail Goods",916,"Low","Medium",128,4473,"Truck","Rain","Low","No",8,2,5938.0,1502.0,2042.0,53453.0,9482.0,43971.0,0.8226,4.5,"On Time",74.08,58.35,916.0,34352.34,3,"Medium Profit","Excellent","Minor Delay","Standard","Medium"
"SH0009","2025-07-01","July","Munsiyari","MountainLink Transport","Trekking Equipment",720,"Medium","Hard",233,3426,"Off-road Vehicle","Clear","Low","Yes",11,0,6857.0,2919.0,2723.0,78262.0,12499.0,65763.0,0.8403,5.0,"On Time",53.64,108.7,720.0,28224.46,4,"High Profit","Excellent","No Delay","Premium","Medium"
"SH0010","2025-10-19","October","Tungnath","SnowPeak Logistics","Medical Supplies",217,"Medium","Easy",128,1899,"Pickup Van","Clear","Medium","No",6,0,6688.0,2567.0,751.0,40911.0,10006.0,30905.0,0.7554,4.9,"On Time",78.17,188.53,217.0,24144.53,3,"Medium Profit","Excellent","No Delay","Standard","Low"
